ID,category,answer_en,answer_hi,keywords_en,keywords_hi
13,Application Process,"The docket number and password will be received via SMS on the registered mobile number entered at the time of application. This docket number and password should be kept safe for future reference to track the application status from time to time.","आवेदन के समय दर्ज किए गए पंजीकृत मोबाइल नंबर पर एसएमएस के माध्यम से डॉकेट नंबर और पासवर्ड प्राप्त होगा। इस डॉकेट नंबर और पासवर्ड को समय-समय पर आवेदन की स्थिति को ट्रैक करने के लिए भविष्य के संदर्भ के लिए सुरक्षित रखा जाना चाहिए।","docket number,password,sms,track status","डॉकेट नंबर,पासवर्ड,एसएमएस,स्थिति"
14,Application Process,"The docket number and password will be received after the complete registration of the application. Even if the applicant has saved the application, the docket number and password will be received only after its complete registration.","डॉकेट नंबर और पासवर्ड आवेदन के पूर्ण पंजीकरण के बाद प्राप्त होगा। यदि आवेदक ने आवेदन सहेजा भी है, तो डॉकेट नंबर और पासवर्ड उसके पूर्ण पंजीकरण के बाद ही प्राप्त होगा।","receive docket number,full registration","डॉकेट नंबर,पूर्ण पंजीकरण"
15,Application Process,"It is not mandatory to enter the Aadhaar number while applying. The Aadhaar number can be entered at the time of online application and is also given for updation later.","आवेदन करते समय आधार नंबर दर्ज करना अनिवार्य नहीं है। आधार नंबर ऑनलाइन आवेदन के समय दर्ज किया जा सकता है और बाद में अपडेशन के लिए भी दिया गया है।","aadhaar,online application","आधार,ऑनलाइन आवेदन"
16,Application Process,"The status of the application can be tracked from time to time on the portal through the docket number and password received on the mobile number.","मोबाइल नंबर पर प्राप्त डॉकेट नंबर और पासवर्ड के माध्यम से पोर्टल पर आवेदन की स्थिति को समय-समय पर ट्रैक किया जा सकता है।","track application,docket number","स्थिति ट्रैक करें,डॉकेट नंबर"
17,Application Process,"An authorized kiosk of M.P. Online can apply for a fee and submit the application for the applicant.","एमपी ऑनलाइन का एक अधिकृत कियोस्क शुल्क के लिए आवेदन कर सकता है और आवेदक के लिए आवेदन जमा कर सकता है।","mp online,kiosk,apply","एमपी ऑनलाइन,कियोस्क,आवेदन"
18,Application Process,"For the services of the Labour Department, it is necessary to get the registration done on the Shram Seva Portal. After which the applicant can avail of the services by entering the mobile number and password on the portal.","श्रम विभाग की सेवाओं के लिए, श्रम सेवा पोर्टल पर पंजीकरण कराना आवश्यक है। जिसके बाद आवेदक पोर्टल पर मोबाइल नंबर और पासवर्ड दर्ज करके सेवाओं का लाभ उठा सकता है।","registration,shram seva portal","पंजीकरण,श्रम सेवा पोर्टल"
19,Application Process,"The services of the Labour Department can be availed through the portal by the applicant himself and through the Lok Seva Kendra and the authorized kiosk of MP Online.","श्रम विभाग की सेवाओं का लाभ आवेदक स्वयं पोर्टल के माध्यम से और लोक सेवा केंद्र और एमपी ऑनलाइन के अधिकृत कियोस्क के माध्यम से उठा सकता है।","labour department,services,lok seva kendra","श्रम विभाग,सेवा,लोक सेवा केंद्र"
20,Worker Category,"Workers are classified based on their skills and expertise. Unskilled, Semi-skilled, Skilled, and Highly Skilled workers","श्रमिकों को उनके कौशल और विशेषज्ञता के आधार पर वर्गीकृत किया जाता है। अकुशल, अर्ध-कुशल, कुशल, और उच्च कुशल श्रमिक","Worker Category,Skill Level, Worker classification, skills, level, classification basis","श्रमिक श्रेणी,कौशल स्तर,श्रमिक वर्गीकरण,कौशल,स्तर"
21,Wages & Payments,"Minimum wage in Madhya Pradesh depends on skill level. As of now, unskilled workers get around ₹360/day.","मध्यप्रदेश में न्यूनतम मजदूरी कौशल के स्तर पर निर्भर करती है। अभी, अकुशल श्रमिकों को लगभग ₹360/दिन मिलता है।","minimum wage,wage,salary,daily wage","न्यूनतम मजदूरी,मजदूरी,वेतन,दैनिक मजदूरी"
22,Wages & Payments,"Wages should be paid at least once a month, before the 7th day of the following month.","मजदूरी कम से कम महीने में एक बार, अगले महीने की 7 तारीख से पहले दी जानी चाहिए।","wage payment,monthly payment,wage date","मजदूरी भुगतान,मासिक भुगतान"
23,Wages & Payments,"You can file a complaint at the Labour Department or call the labour helpline number.","आप श्रम विभाग में शिकायत कर सकते हैं या श्रम हेल्पलाइन नंबर पर कॉल कर सकते हैं।","unpaid wages,complaint,labour department,helpline","मजदूरी न मिलना,शिकायत,श्रम विभाग,हेल्पलाइन"
24,Schemes & Benefits,"E-Shram card is an identity card for unorganised workers to get government benefits and schemes.","ई-श्रम कार्ड असंगठित श्रमिकों के लिए सरकारी लाभ और योजनाओं को प्राप्त करने के लिए एक पहचान पत्र है।","e-shram card,government schemes","ई-श्रम कार्ड,सरकारी योजना"
25,Schemes & Benefits,"You can apply for PMJAY online at pmjay.gov.in or visit a CSC centre with Aadhaar card.","आप pmjay.gov.in पर ऑनलाइन आवेदन कर सकते हैं या आधार कार्ड के साथ सीएससी केंद्र जा सकते हैं।","pmjay,ayushman bharat,apply online","पीएमजेएवाई,आयुष्मान भारत,आवेदन"
26,Schemes & Benefits,"Registered BOCW workers get health, education, pension, and housing benefits.","पंजीकृत BOCW श्रमिकों को स्वास्थ्य, शिक्षा, पेंशन और आवास लाभ मिलते हैं।","bocw,benefits,health,education,pension,housing","बीओसीडब्ल्यू,लाभ,स्वास्थ्य,शिक्षा,पेंशन,आवास"
27,Schemes & Benefits,"It is a pension scheme for unorganised workers where they get ₹3000/month after age 60.","यह असंगठित श्रमिकों के लिए पेंशन योजना है जिसके तहत 60 वर्ष की आयु के बाद ₹3000/माह मिलते हैं।","pm shram yogi,pension scheme","पीएम श्रम योगी मानधन,पेंशन योजना"
28,Schemes & Benefits,"You can update Aadhaar details online on eshram.gov.in or visit a CSC centre.","आप eshram.gov.in पर ऑनलाइन आधार अपडेट कर सकते हैं या सीएससी केंद्र जा सकते हैं।","link aadhaar,e-shram,update aadhaar","आधार लिंक,ई-श्रम,अपडेट"
29,Schemes & Benefits,"Yes, registered construction workers under BOCW are eligible for housing schemes.","हाँ, BOCW के तहत पंजीकृत निर्माण श्रमिक आवास योजनाओं के पात्र हैं।","construction workers,housing schemes","निर्माण श्रमिक,आवास योजना"
30,Schemes & Benefits,"Workers with E-Shram card get ₹2 lakh accidental insurance under PMSBY scheme.","ई-श्रम कार्ड वाले श्रमिकों को PMSBY योजना के तहत ₹2 लाख का आकस्मिक बीमा मिलता है।","e-shram insurance,accidental insurance","ई-श्रम बीमा,आकस्मिक बीमा"
31,Health & Safety,"The employer is responsible for medical bills if you are injured during work. ESIC may also cover expenses.","यदि आप काम करते समय घायल होते हैं तो नियोक्ता चिकित्सा बिलों के लिए जिम्मेदार होता है। ईएसआईसी भी खर्चों को कवर कर सकता है।","medical bills,work injury,ESIC","चिकित्सा बिल,चोट,ईएसआईसी"
32,Health & Safety,"Employer must provide safety gear like helmet, gloves, and shoes for free.","नियोक्ता को हेलमेट, दस्ताने और जूते जैसे सुरक्षा उपकरण मुफ्त प्रदान करने होंगे।","safety gear,ppe","सुरक्षा उपकरण,पीपीई"
33,Health & Safety,"Yes, employer is responsible for workplace safety and accidents under labour laws.","हाँ, श्रम कानूनों के तहत कार्यस्थल की सुरक्षा और दुर्घटनाओं के लिए नियोक्ता जिम्मेदार होता है।","workplace accidents,safety,employer responsibility","कार्यस्थल दुर्घटना,सुरक्षा"
34,Health & Safety,"You can call 112 for emergencies or the MP Labour helpline for help.","आप आपात स्थिति के लिए 112 या मदद के लिए एमपी श्रम हेल्पलाइन पर कॉल कर सकते हैं।","helpline,accidents,emergency number","हेल्पलाइन,दुर्घटनाएं,आपातकालीन नंबर"
35,Health & Safety,"Yes, workers have the right to refuse unsafe work without losing wages.","हाँ, श्रमिकों को मजदूरी खोए बिना असुरक्षित काम करने से मना करने का अधिकार है।","refuse unsafe work,worker rights","असुरक्षित काम,अधिकार"
36,Social Security,"You can check PF balance online at epfindia.gov.in or by giving a missed call to the PF helpline.","आप epfindia.gov.in पर ऑनलाइन या पीएफ हेल्पलाइन पर मिस्ड कॉल देकर पीएफ बैलेंस चेक कर सकते हैं।","pf balance,epf,provident fund","पीएफ बैलेंस,भविष्य निधि"
37,Social Security,"You can withdraw PF online through the EPFO portal using your UAN and Aadhaar.","आप ईपीएफओ पोर्टल के माध्यम से अपने यूएएन और आधार का उपयोग करके पीएफ ऑनलाइन निकाल सकते हैं।","withdraw pf,epfo,uan,aadhaar","पीएफ निकासी,ईपीएफओ"
38,Social Security,"You can submit a pension claim form to EPFO office or apply online.","आप ईपीएफओ कार्यालय में पेंशन दावा फॉर्म जमा कर सकते हैं या ऑनलाइन आवेदन कर सकते हैं।","pension claim,retirement","पेंशन दावा,सेवानिवृत्ति"
39,Social Security,"ESIC provides medical and cash benefits to workers. You can register online on the ESIC portal.","ईएसआईसी श्रमिकों को चिकित्सा और नकद लाभ प्रदान करता है। आप ईएसआईसी पोर्टल पर ऑनलाइन पंजीकरण कर सकते हैं।","esic,register online","ईएसआईसी,पंजीकरण"
40,Social Security,"Your PF and ESIC benefits can be transferred when you change jobs using UAN.","आपके पीएफ और ईएसआईसी लाभ नौकरी बदलते समय यूएएन का उपयोग करके स्थानांतरित किए जा सकते हैं।","job change,benefits,transfer","नौकरी बदलना,लाभ स्थानांतरण"
41,Service Related,"The services of the Labour Department are available on the portal as per the services of the Labour Acts.","श्रम विभाग की सेवाएं श्रम अधिनियमों की सेवाओं के अनुसार पोर्टल पर उपलब्ध हैं।","services,labour acts","सेवाएं,श्रम अधिनियम"
42,Service Related,"The details of the service can be seen on the portal itself. The portal contains information about the Labour Acts as per the services.","सेवा का विवरण पोर्टल पर ही देखा जा सकता है। पोर्टल में सेवाओं के अनुसार श्रम अधिनियमों के बारे में जानकारी होती है।","service details,labour acts","सेवा का विवरण,श्रम अधिनियम"
43,Service Related,"The services of the Labour Department can be availed online on the Shram Seva Portal.","श्रम विभाग की सेवाओं का लाभ श्रम सेवा पोर्टल पर ऑनलाइन उठाया जा सकता है।","shram seva portal,online services","श्रम सेवा पोर्टल,ऑनलाइन सेवाएं"
44,Service Related,"Services related to the Labour Department are provided on the portal as per the Acts/Rules.","श्रम विभाग से संबंधित सेवाएं अधिनियमों/नियमों के अनुसार पोर्टल पर प्रदान की जाती हैं।","services,acts/rules","सेवाएं,अधिनियम/नियम"
45,Rights & Laws,"Workers should not work more than 8 hours a day and 48 hours a week.","श्रमिकों को प्रतिदिन 8 घंटे और प्रति सप्ताह 48 घंटे से अधिक काम नहीं करना चाहिए।","working hours,daily hours,weekly hours","काम के घंटे,अधिकतम"
46,Rights & Laws,"If workers do overtime, they must be paid double the normal wage rate.","यदि श्रमिक ओवरटाइम करते हैं, तो उन्हें सामान्य मजदूरी दर का दोगुना भुगतान किया जाना चाहिए।","overtime,overtime pay,double pay","ओवरटाइम भुगतान,दोगुना वेतन"
47,Rights & Laws,"Yes, women workers get 26 weeks of paid maternity leave under the law.","हाँ, कानून के तहत महिला श्रमिकों को 26 सप्ताह का सशुल्क मातृत्व अवकाश मिलता है।","women workers,maternity leave,paid leave","महिला श्रमिक,मातृत्व अवकाश"
48,Rights & Laws,"Children below 14 years cannot work in any job. Hazardous work is banned for all below 18.","14 वर्ष से कम उम्र के बच्चे किसी भी काम में नहीं लग सकते। 18 वर्ष से कम उम्र के सभी के लिए खतरनाक काम प्रतिबंधित है।","child labour,child labour laws","बाल श्रम,कानून"
49,Rights & Laws,"Yes, workers have the right to join or form a trade union for protecting their rights.","हाँ, श्रमिकों को अपने अधिकारों की रक्षा के लिए एक ट्रेड यूनियन में शामिल होने या बनाने का अधिकार है।","trade union,worker rights","यूनियन,अधिकार"
50,Migration & Identity,"You can apply for a labour card through the Labour Department or online portal with required documents.","आप श्रम विभाग या ऑनलाइन पोर्टल के माध्यम से आवश्यक दस्तावेजों के साथ श्रमिक कार्ड के लिए आवेदन कर सकते हैं।","labour card,apply,documents","श्रमिक कार्ड,आवेदन,दस्तावेज"
51,Migration & Identity,"You can update Aadhaar details by visiting the labour office or CSC centre.","आप श्रम कार्यालय या सीएससी केंद्र जाकर आधार विवरण अपडेट कर सकते हैं।","update aadhaar,labour records","आधार अपडेट,श्रमिक रिकॉर्ड"
52,Migration & Identity,"Migrant workers have the right to equal wages, housing, and social security like local workers.","प्रवासी श्रमिकों को स्थानीय श्रमिकों की तरह समान मजदूरी, आवास और सामाजिक सुरक्षा का अधिकार होता है।","migrant workers,equal wages,rights","प्रवासी श्रमिक,समान मजदूरी,अधिकार"
53,Migration & Identity,"Yes, the E-Shram card is valid across India for availing government benefits.","हाँ, ई-श्रम कार्ड पूरे भारत में सरकारी लाभों का लाभ उठाने के लिए मान्य है।","e-shram card,validity,all India","ई-श्रम कार्ड,मान्यता"
54,Migration & Identity,"You can transfer benefits through the E-Shram portal using Aadhaar and UAN.","आप आधार और यूएएन का उपयोग करके ई-श्रम पोर्टल पर लाभ स्थानांतरित कर सकते हैं।","transfer benefits,e-shram portal","लाभ स्थानांतरण,ई-श्रम पोर्टल"
55,Registration & Compliance,"You can register online at shramsuvidha.gov.in by filling in your details and uploading documents.","आप shramsuvidha.gov.in पर ऑनलाइन पंजीकरण कर सकते हैं, अपने विवरण भर कर और दस्तावेज अपलोड करके।","shram suvidha,register","श्रम सुविधा,पंजीकरण"
56,Registration & Compliance,"LIN is a unique number given to employers for compliance under labour laws.","एलआईएन एक अद्वितीय संख्या है जो नियोक्ताओं को श्रम कानूनों के अनुपालन के लिए दी जाती है।","lin,labour identification number","एलआईएन,श्रमिक पहचान संख्या"
57,Registration & Compliance,"Workers in construction can register under the BOCW Act through the Labour Department with ID proof and application form.","निर्माण में लगे श्रमिक आईडी प्रूफ और आवेदन पत्र के साथ श्रम विभाग के माध्यम से बीओसीडब्ल्यू अधिनियम के तहत पंजीकरण कर सकते हैं।","bocw act,register,construction workers","बीओसीडब्ल्यू अधिनियम,पंजीकरण"
58,Registration & Compliance,"You can apply for renewal of your labour licence online or at the Labour Department office before expiry.","आप अपने श्रमिक लाइसेंस के नवीनीकरण के लिए ऑनलाइन या श्रम विभाग कार्यालय में समाप्ति से पहले आवेदन कर सकते हैं।","renew licence,expiry","लाइसेंस नवीनीकरण,समाप्ति"
59,Registration & Compliance,"Employers must file annual returns through the Shram Suvidha Portal using their login credentials.","नियोक्ताओं को अपने लॉगिन क्रेडेंशियल्स का उपयोग करके श्रम सुविधा पोर्टल के माध्यम से वार्षिक रिटर्न दाखिल करना होगा।","annual returns,file returns","वार्षिक रिटर्न,दाखिल करना"
60,Licensing & Permits,"Contractors can apply for a labour licence by submitting application form and fees at the Labour Department or online portal.","ठेकेदार श्रम विभाग या ऑनलाइन पोर्टल पर आवेदन पत्र और शुल्क जमा करके श्रमिक लाइसेंस के लिए आवेदन कर सकते हैं।","labour licence,apply","श्रमिक लाइसेंस,आवेदन"
61,Licensing & Permits,"Employers who hire migrant workers must apply for ISMW licence from the Labour Department.","जो नियोक्ता प्रवासी श्रमिकों को काम पर रखते हैं, उन्हें श्रम विभाग से आईएसएमडब्ल्यू लाइसेंस के लिए आवेदन करना होगा।","ismw licence,migrant workers","आईएसएमडब्ल्यू लाइसेंस,प्रवासी श्रमिक"
62,Licensing & Permits,"Contractors must apply for CLRA licence (Contract Labour Regulation) from the Labour Department by submitting documents and fees.","ठेकेदारों को दस्तावेज और शुल्क जमा करके श्रम विभाग से सीएलआरए लाइसेंस (कॉन्ट्रैक्ट लेबर रेगुलेशन) के लिए आवेदन करना होगा।","clra licence,contractors","सीएलआरए लाइसेंस,ठेकेदार"
63,Licensing & Permits,"ID proof, previous licence copy, and fee payment receipt are required for licence renewal.","लाइसेंस नवीनीकरण के लिए आईडी प्रूफ, पिछले लाइसेंस की प्रति और शुल्क भुगतान की रसीद आवश्यक है।","licence renewal,documents","लाइसेंस नवीनीकरण,दस्तावेज"
64,Licensing & Permits,"If a licence expires, the contractor must stop work until renewal or risk penalty by authorities.","यदि लाइसेंस की अवधि समाप्त हो जाती है, तो ठेकेदार को नवीनीकरण तक काम बंद करना होगा या अधिकारियों द्वारा लगाए गए जुर्माने का जोखिम उठाना होगा।","licence expires,penalty","लाइसेंस समाप्त,जुर्माना"
65,Grievances & Helplines,"You can file a complaint at the Labour Department office or online grievance portal.","आप श्रम विभाग कार्यालय या ऑनलाइन शिकायत पोर्टल पर शिकायत दर्ज कर सकते हैं।","file complaint,grievance portal","शिकायत,शिकायत पोर्टल"
66,Grievances & Helplines,"Yes, you can call the MP Labour helpline or 155214 for assistance.","हाँ, आप एमपी श्रम हेल्पलाइन या 155214 पर सहायता के लिए कॉल कर सकते हैं।","helpline,labourers","हेल्पलाइन,श्रमिक"
67,Grievances & Helplines,"Most complaints are resolved within 30 days by the Labour Department.","अधिकांश शिकायतों का समाधान श्रम विभाग द्वारा 30 दिनों के भीतर किया जाता है।","resolve complaint,resolution time","समाधान,शिकायत का समय"
68,Grievances & Helplines,"Yes, workers can file complaints without revealing their name for safety reasons.","हाँ, श्रमिक सुरक्षा कारणों से अपना नाम बताए बिना शिकायत दर्ज कर सकते हैं।","anonymous complaint,safety","गुमनाम शिकायत,सुरक्षा"
69,Grievances & Helplines,"Employers who violate laws may face fines, licence cancellation, or jail depending on severity.","जो नियोक्ता कानूनों का उल्लंघन करते हैं, उन्हें गंभीरता के आधार पर जुर्माना, लाइसेंस रद्द करना या जेल हो सकती है।","violate laws,penalty,action","कानूनों का उल्लंघन,जुर्माना,कार्रवाई"
70,Women & Child Welfare,"Workplaces with many women must provide crèche facilities for children.","जिन कार्यस्थलों पर कई महिला श्रमिक हैं, वहां बच्चों के लिए क्रेच सुविधाएं प्रदान करना आवश्यक है।","crèche facilities,women workers","क्रेच सुविधा,महिला श्रमिक"
71,Women & Child Welfare,"Yes, women can work night shifts with proper safety and transport arrangements by the employer.","हाँ, महिला श्रमिकों को नियोक्ता द्वारा उचित सुरक्षा और परिवहन व्यवस्था के साथ रात की पाली में काम करने की अनुमति है।","women,night shifts,safety","महिला,रात की पाली,सुरक्षा"
72,Women & Child Welfare,"Every workplace must have an Internal Complaints Committee (ICC) to handle harassment cases.","प्रत्येक कार्यस्थल पर उत्पीड़न के मामलों को संभालने के लिए एक आंतरिक शिकायत समिति (आईसीसी) होनी चाहिए।","sexual harassment,ICC,complaint committee","यौन उत्पीड़न,आईसी"
73,Women & Child Welfare,"Yes, by law, women must be paid the same wages as men for the same work.","हाँ, कानून के अनुसार, महिलाओं को समान काम के लिए पुरुषों के समान वेतन मिलना चाहिए।","equal wages,women,men","समान वेतन,महिला,पुरुष"
74,Women & Child Welfare,"Women in the unorganised sector may get cash assistance and benefits under government schemes like PMMVY.","असंगठित क्षेत्र में महिलाओं को पीएमएमवीवाई जैसी सरकारी योजनाओं के माध्यम से नकद सहायता और लाभ मिल सकते हैं।","maternity benefits,unorganised sector,PMMVY","मातृत्व लाभ,असंगठित क्षेत्र,पीएएमएमवीवाई"
75,Schemes & Benefits,"Under the Pradhan Mantri Awas Yojana, eligible laborers can get financial assistance for constructing a house.","प्रधानमंत्री आवास योजना के तहत, पात्र श्रमिकों को घर बनाने के लिए वित्तीय सहायता मिल सकती है।","awas yojana,housing scheme","आवास योजना,घर"
76,Schemes & Benefits,"Under the Pradhan Mantri Suraksha Bima Yojana, workers can get ₹2 lakh insurance at a very low premium.","प्रधानमंत्री सुरक्षा बीमा योजना के तहत, श्रमिक बहुत कम प्रीमियम पर ₹2 लाख का बीमा प्राप्त कर सकते हैं।","suraksha bima,insurance","सुरक्षा बीमा,बीमा"
77,Rights & Laws,"Under the Minimum Wages Act, 1948, the government can fix the minimum wage for workers.<br/>More details can be obtained by this Government link for the act:<br/> ' https://clc.gov.in/clc/sites/default/files/MinimumWagesact.pdf ' <br/> If you want Me to summerize a bit for you Type or Speak ' Summarize minimum Wage act ' ","न्यूनतम मजदूरी अधिनियम, 1948 के तहत, सरकार श्रमिकों के लिए न्यूनतम मजदूरी तय कर सकती है।<br/>अधिनियम के लिए अधिक जानकारी इस सरकारी लिंक से प्राप्त की जा सकती है:<br/> ' https://clc.gov.in/clc/sites/default/files/MinimumWagesact.pdf ' <br/> यदि आप चाहते हैं कि मैं आपके लिए थोड़ा संक्षेप में बताऊं तो ' न्यूनतम वेतन अधिनियम का सारांश दीजिए '"," ","न्यूनतम मजदूरी अधिनियम"
78,Rights & Laws,"A worker is entitled to one paid holiday for every 20 days of work.","एक श्रमिक हर 20 दिनों के काम के लिए एक सशुल्क छुट्टी का हकदार है।","paid holiday,leave","सशुल्क छुट्टी,अवकाश"
79,Rights & Laws,"The Industrial Employment (Standing Orders) Act, 1946, regulates the conditions of employment in industrial establishments.<br/>More details can be obtained by this Government link for the act:<br/> ' https://labour.gov.in/sites/default/files/Industrial-Employment-Standing-Orders-Act-1946.pdf ' <br/> If you want Me to summerize a bit for you Type or Speak ' Summarize Industrial Employment Act, 1946' ","औद्योगिक रोजगार (स्थायी आदेश) अधिनियम, 1946, औद्योगिक प्रतिष्ठानों में रोजगार की शर्तों को नियंत्रित करता है।<br/>इस अधिनियम के लिए अधिक जानकारी इस सरकारी लिंक से प्राप्त की जा सकती है:<br/> ' https://labour.gov.in/sites/default/files/Industrial-Employment-Standing-Orders-Act-1946.pdf ' <br/> यदि आप चाहते हैं कि मैं आपके लिए थोड़ा संक्षेप में बताऊं तो <br/>'औद्योगिक रोजगार अधिनियम, 1946 का सारांश' लिखें।","standing orders,employment conditions","स्थायी आदेश,रोजगार की शर्तें"
80,Rights & Laws,"Workers have the right to a safe working environment and regular breaks.","श्रमिकों को एक सुरक्षित कार्य वातावरण और नियमित अवकाश का अधिकार है।","worker rights,safe environment","श्रमिक अधिकार,सुरक्षित वातावरण"
81,Rights & Laws,"A worker is entitled to an annual leave with wages after working for a continuous period of 240 days.","एक श्रमिक लगातार 240 दिनों तक काम करने के बाद मजदूरी के साथ वार्षिक अवकाश का हकदार है।","annual leave,paid leave","वार्षिक अवकाश,सशुल्क अवकाश"
82,Rights & Laws,"The Equal Remuneration Act, 1976, ensures that men and women get equal pay for equal work. <br/> More details can be obtained by this Government link for the act:<br/> ' https://samadhan.labour.gov.in/whatsnew/equal_remuneration_act_1976.pdf ' <br/> If you want Me to summerize a bit for you Type or Speak' Summarize EQUAL REMUNERATION ACT '","समान पारिश्रमिक अधिनियम, 1976 यह सुनिश्चित करता है कि पुरुषों और महिलाओं को समान कार्य के लिए समान वेतन मिले। <br/> अधिनियम के लिए अधिक जानकारी इस सरकारी लिंक से प्राप्त की जा सकती है: <br/> ' https://samadhan.labour.gov.in/whatsnew/equal_remuneration_act_1976.pdf ' <br/> यदि आप चाहते हैं कि मैं आपके लिए थोड़ा संक्षेप में बताऊं तो ' समान पारिश्रमिक अधिनियम का सारांश लिखें '","equal pay,equal work","समान वेतन,समान काम"
83,Rights & Laws,"The Trade Unions Act, 1926, provides for the registration and regulation of trade unions.<br/> More details can be obtained by this Government link for the act:<br/> ' https://cib.assam.gov.in/sites/default/files/Trade%20Union%20Act.pdf ' <br/> If you want Me to summerize a bit for you Type or Speak ' Summarize Trade Union Act '","ट्रेड यूनियन अधिनियम, 1926, ट्रेड यूनियनों के पंजीकरण और विनियमन का प्रावधान करता है।<br/> अधिनियम के लिए अधिक जानकारी इस सरकारी लिंक से प्राप्त की जा सकती है:<br/> ' https://cib.assam.gov.in/sites/default/files/Trade%20Union%20Act.pdf ' <br/> यदि आप चाहते हैं कि मैं आपके लिए थोड़ा संक्षेप में बताऊं तो टाइप करें या बोलें 'ट्रेड यूनियन अधिनियम का सारांश'","trade unions act","ट्रेड यूनियंस अधिनियम"
84,Health & Safety,"The Factories Act, 1948, makes it mandatory for factories to ensure the safety and health of their workers. <br/> More details can be obtained by this Government link for the act:<br/> ' https://labour.gov.in/sites/default/files/factories_act_1948.pdf ' <br/> If you want Me to summerize a bit for you Type or Speak' Summarize The factories Act 1948 '","कारखाना अधिनियम, 1948 कारखानों के लिए अपने श्रमिकों की सुरक्षा और स्वास्थ्य सुनिश्चित करना अनिवार्य बनाता है। <br/> अधिनियम के लिए अधिक जानकारी इस सरकारी लिंक से प्राप्त की जा सकती है: <br/> ' https://labour.gov.in/sites/default/files/factories_act_1948.pdf ' <br/> यदि आप चाहते हैं कि मैं आपके लिए थोड़ा संक्षेप में लिखूं तो लिखें या बोलें ' कारखाना अधिनियम 1948 का सारांश दें '","factories act,safety","कारखाना अधिनियम,सुरक्षा"
85,Health & Safety,"Workplaces with over 100 workers must have an ambulance room for first aid and medical emergencies.","100 से अधिक श्रमिकों वाले कार्यस्थलों पर प्राथमिक चिकित्सा और चिकित्सा आपात स्थितियों के लिए एक एम्बुलेंस कक्ष होना चाहिए।","ambulance room,first aid","एम्बुलेंस कक्ष,प्राथमिक चिकित्सा"
